院校名称,院校类型,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校网址,特殊招生,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次
大连医科大学中山学院,医药院校（本科）,,,,辽宁省教育厅,辽宁,http://www.dmuzs.edu.cn/,[''],,,0,,,,
辽宁医学院医疗学院,医药院校（本科）,,,,辽宁省教育厅,辽宁,http://www.lnmu.edu.cn/,[''],,,0,,,,
辽宁师范大学海华学院,师范院校（本科）,,,,辽宁省教育厅,辽宁,http://www.lshhxy.cn/,[''],,,0,,,,
渤海大学文理学院,综合院校（本科）,,,,辽宁省教育厅,辽宁,http://www.bhuwlxy.edu.cn/,[''],,,0,,,,
大连财经学院,财经院校（本科）,,,,辽宁省教育厅,辽宁,http://www.kingbridge.net/,[''],,,0,,,,
沈阳城市学院,综合院校（本科）,,,,辽宁省教育厅,辽宁,http://www.sycu.net/,[''],,,0,,,,
辽宁科技大学信息技术学院,工科院校（本科）,,,,辽宁省教育厅,辽宁,http://www.ustl.edu.cn/,[''],,,0,,,,
辽宁石油化工大学顺华能源学院,工科院校（本科）,,,,辽宁省教育厅,辽宁,http://www.lnshny.com/,[''],,,0,,,,
大连艺术学院,艺术院校（本科）,,,,辽宁省教育厅,辽宁,http://www.dac.edu.cn/,['高水平运动员'],,,0,,,,
辽宁中医药大学杏林学院,医药院校（本科）,,,,辽宁省教育厅,辽宁,http://www.lncmxl.edu.cn/,[''],,,0,,,,
辽宁何氏医学院,医药院校（本科）,,,,辽宁省教育厅,辽宁,http://www.he-edu.com/,[''],,,0,,,,
沈阳化工大学科亚学院,工科院校（本科）,,,,辽宁省教育厅,辽宁,http://www.syuctky.edu.cn/,[''],,,0,,,,
大连东软信息学院,工科院校（本科）,,,,辽宁省教育厅,辽宁,http://www.neusoft.edu.cn/,[''],,,0,,,,
海军大连舰艇学院,军事院校（本科）,,,,辽宁省教育厅,辽宁,http://www.dljy.edu.cn/,[''],,,0,,,,
吉林大学,综合院校（本科）,211,985,研,教育部,吉林,http://www.jlu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],9,77.15,5,76.03,76.37,69.97,中国一流大学
东北师范大学,师范院校（本科）,211,,研,教育部,吉林,http://www.nenu.edu.cn/,['自主招生、高水平运动员'],40,64.99,4,66.34,67,69.03,中国高水平大学
延边大学,综合院校（本科）,211,,,吉林省教育厅,吉林,http://www.ybu.edu.cn/,['高水平运动员'],134,60.58,3,62.62,63.79,65.91,中国知名大学
长春理工大学,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.cust.edu.cn/,[''],159,61.01,0,62.33,63.67,61.92,
吉林农业大学,农业院校（本科）,,,,吉林省教育厅,吉林,http://www.jlau.edu.cn/,['高水平运动员'],181,60.78,0,62.15,63.53,61.81,
东北电力大学,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.nedu.edu.cn/,['高水平运动员'],221,60.6,0,61.91,63.22,61.64,
长春中医药大学,医药院校（本科）,,,,吉林省教育厅,吉林,http://www.ccucm.edu.cn/,[''],268,60.29,0,61.73,63.11,61.64,
吉林师范大学,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.jlnu.edu.cn/,[''],313,60.27,0,61.59,63.2,60,
吉林化工学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.jlict.edu.cn/,['高水平运动员'],318,60.57,0,61.58,62.9,60,
长春工业大学,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.ccut.edu.cn/,[''],329,60.21,0,61.55,63.15,60.16,
吉林财经大学,财经院校（本科）,,,,吉林省教育厅,吉林,http://www.jlufe.edu.cn/,[''],345,60.18,0,61.51,63.09,60.16,
北华大学,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.beihua.edu.cn/,['高水平运动员'],349,60.15,0,61.5,63.13,60,
长春师范大学,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.cncnc.edu.cn/,['高水平运动员'],392,60.14,0,61.43,62.93,60.16,
吉林建筑大学,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.jliae.edu.cn/,[''],392,60.15,0,61.43,62.96,60,
长春大学,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.ccu.edu.cn/,[''],441,60.04,0,61.37,62.9,60.16,
通化师范学院,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.thnu.edu.cn/,[''],472,60.04,0,61.35,62.89,60,
长春工程学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.ccit.edu.cn/,['高水平运动员'],482,60.03,0,61.34,62.9,60,
吉林工程技术师范学院,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.jltiet.net/,[''],482,60.02,0,61.34,62.89,60,
吉林工商学院,财经院校（本科）,,,,吉林省教育厅,吉林,http://www.jlbtc.edu.cn/,[''],588,60.02,0,61.14,62.47,60,
白城师范学院,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.bcsfxy.com/,[''],617,60,0,61.13,62.46,60,
吉林农业科技学院,农业院校（本科）,,,,吉林省教育厅,吉林,http://www.jlnku.com/,[''],617,60,0,61.13,62.46,60,
吉林医药学院,医药院校（本科）,,,,吉林省教育厅,吉林,http://www.jlmpc.cn/,[''],683,60.03,0,60.03,60.03,60,
吉林体育学院,体育院校（本科）,,,,吉林省教育厅,吉林,http://www.jlty.com.cn/,[''],,,0,,,,
吉林艺术学院,艺术院校（本科）,,,,吉林省教育厅,吉林,http://www.jlart.edu.cn/,[''],,,0,,,,
辽源职业技术学院,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.lyvtc.cn/,[''],,,0,,,,
吉林华桥外国语学院,语言院校（本科）,,,,吉林省教育厅,吉林,http://www.hqwy.com/,[''],,,0,,,,
四平职业大学,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.jlsppc.cn/,[''],,,0,,,,
长春汽车工业高等专科学校,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.caii.edu.cn/,[''],,,0,,,,
长春金融高等专科学校,财经院校（专科）,,,,吉林省教育厅,吉林,http://www.cjgz.edu.cn/,[''],,,0,,,,
吉林警察学院,政法院校（本科）,,,,吉林省教育厅,吉林,http://www.jljcxy.com/,[''],,,0,,,,
长春医学高等专科学校,医药院校（专科）,,,,吉林省教育厅,吉林,http://www.cmcedu.com/,[''],,,0,,,,
吉林交通职业技术学院,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.jjtc.com.cn/,[''],,,0,,,,
长春东方职业学院,医药院校（专科）,,,,吉林省教育厅,吉林,http://www.dfzyxy.edu.cn/,[''],,,0,,,,
吉林司法警官职业学院,政法院校（专科）,,,,吉林省教育厅,吉林,http://www.jlsfjy.cn/,[''],,,0,,,,
吉林电子信息职业技术学院,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.jltc.edu.cn/,[''],,,0,,,,
吉林工业职业技术学院,工科院校（专科）,,,,吉林省教育厅,吉林,http://www.jvcit.edu.cn/,[''],,,0,,,,
吉林农业工程职业技术学院,农业院校（专科）,,,,吉林省教育厅,吉林,http://www.jlnyxy.com.cn/,[''],,,0,,,,
长春职业技术学院,综合院校（专科）,,,,吉林省教育厅,吉林,http://www.cvit.com.cn/,[''],,,0,,,,
长春光华学院,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.ccughc.net/,[''],,,0,,,,
长春工业大学人文信息学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.ccutchi.com/,[''],,,0,,,,
长春理工大学光电信息学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.csoei.com/,[''],,,0,,,,
吉林财经大学信息经济学院,财经院校（本科）,,,,吉林省教育厅,吉林,http://www.iecjlufe.edu.cn/,[''],,,0,,,,
吉林建筑大学城建学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://zsjy.jlucc.net/,[''],,,0,,,,
长春建筑学院,工科院校（本科）,,,,吉林省教育厅,吉林,http://www.jladi.com/,[''],,,0,,,,
长春科技学院,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.jlaudev.com.cn/,[''],,,0,,,,
吉林动画学院,艺术院校（本科）,,,,吉林省教育厅,吉林,http://www.jldh.com.cn/,[''],,,0,,,,
吉林师范大学博达学院,师范院校（本科）,,,,吉林省教育厅,吉林,http://www.bdxy.com.cn/,[''],,,0,,,,
长春大学旅游学院,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.cctourcollege.com/,[''],,,0,,,,
东北师范大学人文学院,综合院校（本科）,,,,吉林省教育厅,吉林,http://www.chsnenu.edu.cn/,[''],,,0,,,,
白城医学高等专科学校,医药院校（专科）,,,,吉林省教育厅,吉林,http://www.bcyz.cn/,[''],,,0,,,,
哈尔滨工业大学,工科院校（本科）,211,985,研,工业和信息化部,黑龙江,http://www.hit.edu.cn/,['自主招生、艺术特长生、高水平运动员'],20,71.41,5,71.59,72.04,70.41,中国一流大学
哈尔滨工程大学,工科院校（本科）,211,,研,工业和信息化部,黑龙江,http://www.hrbeu.edu.cn/,['自主招生、高水平运动员'],57,64.33,4,64.9,64.6,68.54,中国高水平大学
东北林业大学,林业院校（本科）,211,,,教育部,黑龙江,http://www.nefu.edu.cn/,['高水平运动员'],92,61.9,3,63.42,64.67,64.27,中国知名大学
哈尔滨医科大学,医药院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbmu.edu.cn/,[''],103,62.49,3,63.25,64.23,62.14,中国知名大学
黑龙江大学,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hlju.edu.cn/,['自主招生、高水平运动员'],104,61.82,3,63.23,64.86,61.97,中国知名大学
东北农业大学,农业院校（本科）,211,,,黑龙江省教育厅,黑龙江,http://www.neau.edu.cn/,['高水平运动员'],119,61.16,3,62.94,63.94,65.91,中国知名大学
哈尔滨理工大学,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbust.edu.cn/,['高水平运动员'],159,61.1,0,62.33,63.61,61.81,
哈尔滨师范大学,师范院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbnu.edu.cn/,['高水平运动员'],189,60.72,0,62.09,63.8,60.33,
东北石油大学,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.dqpi.edu.cn/,['高水平运动员'],211,60.73,0,61.96,63.58,60,
黑龙江中医药大学,医药院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hljucm.net/,[''],233,60.56,3,61.83,63.47,60,中国知名大学
哈尔滨商业大学,财经院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbcu.edu.cn/,['高水平运动员'],248,60.31,0,61.78,63.17,61.81,
黑龙江八一农垦大学,农业院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hlau.cn/,[''],300,60.48,0,61.62,63.06,60,
佳木斯大学,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.jmsu.org/,[''],326,60.23,0,61.56,63.18,60,
齐齐哈尔大学,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.qqhru.edu.cn/,['高水平运动员'],338,60.18,0,61.52,63.13,60,
黑龙江科技大学,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.usth.edu.cn/,[''],384,60.11,0,61.44,63.04,60,
牡丹江师范学院,师范院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.mdjnu.cn/,[''],456,60.02,0,61.36,62.95,60,
牡丹江医学院,医药院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.mdjmu.cn/,[''],472,60.06,0,61.35,62.89,60,
哈尔滨学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbu.edu.cn/,[''],495,60,0,61.33,62.89,60,
黑龙江工程学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hljit.edu.cn/,[''],495,60.01,0,61.33,62.89,60,
齐齐哈尔医学院,医药院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.qqhrmu.cn/,[''],495,60.02,0,61.33,62.89,60,
黑龙江工业学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.jxdx.com/,[''],495,60,0,61.33,62.88,60,
大庆师范学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.dqsy.net/,[''],561,60.04,0,61.15,62.47,60,
绥化学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.shxy.net/,[''],617,60.01,0,61.13,62.46,60,
哈尔滨金融学院,财经院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbjz.edu.cn/,[''],617,60,0,61.13,62.45,60,
黑河学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hhxy.edu.cn/,[''],695,60.01,0,60.01,60.01,60,
齐齐哈尔高等师范专科学校,师范院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.qqhrtc.com/,[''],,,0,,,,
哈尔滨体育学院,体育院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbipe.edu.cn/,[''],,,0,,,,
伊春职业学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.ycvc.com.cn/,[''],,,0,,,,
牡丹江大学,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,,[''],,,0,,,,
黑龙江东方学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.dfxy.net/,[''],,,0,,,,
黑龙江职业学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljp.edu.cn/,[''],,,0,,,,
哈尔滨华夏计算机职业技术学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hxci.com.cn/,[''],,,0,,,,
黑龙江建筑职业技术学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hcc.net.cn/,[''],,,0,,,,
黑龙江艺术职业学院,艺术院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljyzy.com/,[''],,,0,,,,
大庆职业学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.dqzyxy.net/,[''],,,0,,,,
黑龙江林业职业技术学院,林业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljlzy.com/,[''],,,0,,,,
黑龙江农业职业技术学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljnzy.net/,[''],,,0,,,,
黑龙江农业工程职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hngzy.com/,[''],,,0,,,,
黑龙江农垦职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.nkzy.com/,[''],,,0,,,,
黑龙江司法警官职业学院,政法院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hlsfjx.com/,[''],,,0,,,,
齐齐哈尔工程学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hdyu.com/,[''],,,0,,,,
鹤岗师范高等专科学校,师范院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hgtc.org.cn/,[''],,,0,,,,
哈尔滨电力职业技术学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://hepotc.hl.sgcc.com.cn/,[''],,,0,,,,
哈尔滨铁道职业技术学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.htxy.net/,[''],,,0,,,,
大兴安岭职业学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.dxalu.com/,[''],,,0,,,,
黑龙江畜牧兽医职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hmy.com.cn/,[''],,,0,,,,
黑龙江农业经济职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.nyjj.net.cn/,[''],,,0,,,,
哈尔滨职业技术学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hzjxy.net/,[''],,,0,,,,
黑龙江外国语学院,师范院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hiu.edu.cn/,[''],,,0,,,,
黑龙江财经学院,财经院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hrbtc.com/,[''],,,0,,,,
哈尔滨石油学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hr-edu.com/,[''],,,0,,,,
东北农业大学成栋学院,农业院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.chdxy.cn/,[''],,,0,,,,
哈尔滨远东理工学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.fe-edu.com.cn/,[''],,,0,,,,
哈尔滨剑桥学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.jqu.net.cn/,[''],,,0,,,,
黑龙江工程学院昆仑旅游学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.kllyxy.com/,[''],,,0,,,,
哈尔滨商业大学广厦学院,综合院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.gsxy.cn/,[''],,,0,,,,
哈尔滨华德学院,工科院校（本科）,,,,黑龙江省教育厅,黑龙江,http://www.hithd.net/,[''],,,0,,,,
黑龙江生物科技职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.swkj.net/,[''],,,0,,,,
黑龙江商业职业学院,财经院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljszy.net/,[''],,,0,,,,
黑龙江公安警官职业学院,政法院校,,,,黑龙江省教育厅,黑龙江,http://www.hlpolice.com/,[''],,,0,,,,
黑龙江信息技术职业学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hljitpc.com/,[''],,,0,,,,
哈尔滨江南职业技术学院,综合院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.13451.cn/,[''],,,0,,,,
黑龙江农垦科技职业学院,农业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.nkkjxy.com/,[''],,,0,,,,
黑龙江旅游职业技术学院,财经院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.ljly.net/,[''],,,0,,,,
黑龙江三江美术职业学院,艺术院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.sjmsxy.net.cn/,[''],,,0,,,,
黑龙江生态工程职业学院,林业院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hfmc.net/,[''],,,0,,,,
黑龙江煤炭职业技术学院,工科院校（专科）,,,,黑龙江省教育厅,黑龙江,http://www.hmzy.cn/,[''],,,0,,,,
上海交通大学,综合院校（本科）,211,985,研,教育部,上海,http://www.sjtu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],3,85.89,5,81.08,78.26,73.66,中国一流大学
复旦大学,综合院校（本科）,211,985,研,教育部,上海,http://www.fudan.edu.cn/,['自主招生、艺术特长生、高水平运动员'],4,81.54,5,80.92,81.44,76.23,中国一流大学
同济大学,工科院校（本科）,211,985,研,教育部,上海,http://www.tongji.edu.cn/,['自主招生、艺术特长生、高水平运动员'],22,70,5,70.14,69.81,72.16,中国一流大学
华东师范大学,师范院校（本科）,211,985,研,教育部,上海,http://www.ecnu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],24,69.81,5,69.9,69.84,70.58,中国一流大学
华东理工大学,工科院校（本科）,211,,研,教育部,上海,http://www.ecust.edu.cn/,['自主招生、高水平运动员'],41,65.54,4,66.08,65.98,68.71,中国高水平大学
上海大学,综合院校（本科）,211,,,上海市教育委员会,上海,http://www.shu.edu.cn/,['自主招生、高水平运动员'],73,62.43,3,64.03,65.27,65.26,中国知名大学
上海财经大学,财经院校（本科）,211,,,教育部,上海,http://www.shufe.edu.cn/,['自主招生、艺术特长生、高水平运动员'],74,62.29,5,64.02,64.75,67.89,中国一流大学
东华大学,工科院校（本科）,211,,,教育部,上海,http://www.dhu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],82,62.22,4,63.71,64.84,64.88,中国高水平大学
上海理工大学,工科院校（本科）,,,,上海市教育委员会,上海,http://www.usst.edu.cn/,['高水平运动员'],123,61.39,3,62.83,64.72,60.56,中国知名大学
上海师范大学,师范院校（本科）,,,,上海市教育委员会,上海,http://www.shnu.edu.cn/,[''],127,61.51,3,62.79,64.49,60.66,中国知名大学
上海中医药大学,医药院校（本科）,,,,上海市教育委员会,上海,http://www.shutcm.com/,['高水平运动员'],137,61.8,4,62.57,63.86,60.16,中国高水平大学
上海外国语大学,语言院校（本科）,211,,,教育部,上海,http://www.shisu.edu.cn/,['自主招生、高水平运动员'],150,60.58,4,62.44,63.7,64.6,中国高水平大学
华东政法大学,政法院校（本科）,,,,上海市教育委员会,上海,http://www.ecupl.edu.cn/,['高水平运动员'],189,60.65,3,62.09,63.81,60.49,中国知名大学
上海海洋大学,农业院校（本科）,,,,上海市教育委员会,上海,http://www.shfu.edu.cn/,['高水平运动员'],231,60.79,0,61.84,63.22,60.16,
上海海事大学,工科院校（本科）,,,,上海市教育委员会,上海,http://www.shmtu.edu.cn/,['高水平运动员'],243,60.55,0,61.8,63.36,60.16,
上海工程技术大学,工科院校（本科）,,,,上海市教育委员会,上海,http://www.sues.edu.cn/,['高水平运动员'],357,60.23,0,61.49,62.99,60.16,
上海电力学院,工科院校（本科）,,,,上海市教育委员会,上海,http://www.shiep.edu.cn/,['高水平运动员'],370,60.24,0,61.46,62.96,60,
上海对外经贸大学,财经院校（本科）,,,,上海市教育委员会,上海,http://www.shift.edu.cn/,[''],392,60.13,0,61.43,62.99,60,
上海应用技术学院,工科院校（本科）,,,,上海市教育委员会,上海,http://www.sit.edu.cn/,[''],422,60.13,0,61.39,62.9,60,
上海第二工业大学,工科院校（本科）,,,,上海市教育委员会,上海,http://www.sspu.cn/,[''],456,60.04,0,61.36,62.92,60,
上海政法学院,政法院校（本科）,,,,上海市教育委员会,上海,http://www.shupl.edu.cn/,[''],518,60.16,0,61.22,62.46,60.16,
上海金融学院,财经院校（本科）,,,,上海市教育委员会,上海,http://www.shfc.edu.cn/,['高水平运动员'],531,60.05,0,61.18,62.49,60.16,
上海立信会计学院,财经院校（本科）,,,,上海市教育委员会,上海,http://www.lixin.edu.cn/,[''],547,60.06,0,61.16,62.46,60,
上海商学院,财经院校（本科）,,,,上海市教育委员会,上海,http://www.sbs.edu.cn/,[''],561,60,0,61.15,62.46,60.16,
上海海关学院,综合院校（本科）,,,,海关总署,上海,http://shanghai_edu.customs.gov.cn/,[''],588,60.03,0,61.14,62.46,60,
上海电机学院,工科院校（本科）,,,,上海市教育委员会,上海,http://www.sdju.edu.cn/,[''],617,60.01,0,61.13,62.46,60,
上海医疗器械高等专科学校,工科院校（专科）,,,,上海市教育委员会,上海,http://www.smic.edu.cn/,[''],,,0,,,,
上海交通大学医学院,医药院校（本科）,211,985,研,教育部,上海,http://www.shsmu.edu.cn/,['自主招生'],,,0,,,,
上海旅游高等专科学校,财经院校（专科）,,,,上海市教育委员会,上海,http://www.sitsh.edu.cn/,[''],,,0,,,,
上海体育学院,体育院校（本科）,,,,上海市教育委员会,上海,http://www.sus.edu.cn/,[''],,,0,,,,
上海音乐学院,艺术院校（本科）,,,,上海市教育委员会,上海,http://www.shcmusic.edu.cn/,[''],,,0,,,,
上海戏剧学院,艺术院校（本科）,,,,上海市教育委员会,上海,http://www.sta.edu.cn/,[''],,,0,,,,
上海公安高等专科学校,政法院校（专科）,,,,上海市教育委员会,上海,http://www.shpc.edu.cn/,[''],,,0,,,,
上海东海职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.esu.edu.cn/,[''],,,0,,,,
上海新侨职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.xq.sh.cn/,[''],,,0,,,,
上海出版印刷高等专科学校,工科院校（专科）,,,,上海市教育委员会,上海,http://www.sppc.edu.cn/,[''],,,0,,,,
上海杉达学院,财经院校（本科）,,,,上海市教育委员会,上海,http://www.sandau.edu.cn/,[''],,,0,,,,
上海行健职业学院,财经院校（专科）,,,,上海市教育委员会,上海,http://www.shxj.cn/,[''],,,0,,,,
上海城市管理职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.shumc.edu.cn/,[''],,,0,,,,
上海交通职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.scp.edu.cn/,[''],,,0,,,,
上海海事职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.sma.edu.cn/,[''],,,0,,,,
上海电子信息职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.stiei.edu.cn/,[''],,,0,,,,
上海震旦职业学院,财经院校（专科）,,,,上海市教育委员会,上海,http://www.aurora-college.cn/,[''],,,0,,,,
上海民远职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.min-yuan.com/,[''],,,0,,,,
上海欧华职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shouhua.net.cn/,[''],,,0,,,,
上海思博职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shsipo.com/,[''],,,0,,,,
上海立达职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.lidapoly.edu.cn/,[''],,,0,,,,
上海工艺美术职业学院,艺术院校（专科）,,,,上海市教育委员会,上海,http://www.gymy.cn/,[''],,,0,,,,
上海济光职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shjgxy.com/,[''],,,0,,,,
上海建桥学院,综合院校（本科）,,,,上海市教育委员会,上海,http://zsb.gench.edu.cn/,[''],,,0,,,,
上海工商外国语职业学院,语言院校（专科）,,,,上海市教育委员会,上海,http://www.sicfl.edu.cn/,[''],,,0,,,,
上海科学技术职业学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.scst.edu.cn/,[''],,,0,,,,
上海农林职业技术学院,农业院校（专科）,,,,上海市教育委员会,上海,http://www.shafc.ed.cn/,[''],,,0,,,,
上海邦德职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shbangde.com/,[''],,,0,,,,
上海兴韦信息技术职业学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.xingwei.edu.cn/,[''],,,0,,,,
上海中侨职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shzq.edu.cn/,[''],,,0,,,,
上海建峰职业技术学院,综合院校（专科）,,,,上海市教育委员会,上海,http://www.shjf.com/,[''],,,0,,,,
上海外国语大学贤达经济人文学院,财经院校（本科）,,,,上海市教育委员会,上海,http://www.xdsisu.edu.cn/,[''],,,0,,,,
上海电影艺术职业学院,艺术院校（专科）,,,,上海市教育委员会,上海,http://www.shfilmart.com/,[''],,,0,,,,
上海中华职业技术学院,工科院校（专科）,,,,上海市教育委员会,上海,http://www.zhonghuacollege.com/,[''],,,0,,,,
南京大学,综合院校（本科）,211,985,研,教育部,江苏,http://www.nju.edu.cn/,['自主招生、艺术特长生、高水平运动员'],8,78.29,5,78.3,78.8,76.14,中国一流大学
东南大学,综合院校（本科）,211,985,研,教育部,江苏,http://www.seu.edu.cn/,['自主招生、艺术特长生、高水平运动员'],25,69.33,5,69.69,69.88,70.32,中国一流大学
中国矿业大学,工科院校（本科）,211,,研,教育部,江苏,http://www.cumt.edu.cn/,['自主招生、高水平运动员'],35,66.46,4,66.79,66.59,68.99,中国高水平大学
南京农业大学,农业院校（本科）,211,,研,教育部,江苏,http://www.njau.edu.cn/,['自主招生、艺术特长生、高水平运动员'],47,63.65,4,65.37,66.21,68.71,中国高水平大学
南京理工大学,工科院校（本科）,211,,研,工业和信息化部,江苏,http://www.njust.edu.cn/,['自主招生、艺术特长生、高水平运动员'],49,64.1,4,65.22,65.46,68.71,中国高水平大学
苏州大学,综合院校（本科）,211,,,江苏省教育厅,江苏,http://www.suda.edu.cn/,['自主招生、高水平运动员'],52,64.71,3,65.14,65.56,65.09,中国知名大学
南京师范大学,师范院校（本科）,211,,,江苏省教育厅,江苏,http://www.njnu.edu.cn/,['自主招生、高水平运动员'],54,63.66,4,65.1,66.44,65.21,中国高水平大学
南京航空航天大学,工科院校（本科）,211,,研,工业和信息化部,江苏,http://www.nuaa.edu.cn/,['自主招生、艺术特长生、高水平运动员'],58,63.16,4,64.85,65.44,69.22,中国高水平大学
