院校名称,是否是211,是否是985,是否有研究生院,院校隶属,所在地区,学校排名,科学研究,星级,总分,人才培养,综合声誉,办学层次,自主招生,艺术特长生,高水平运动员,学历,类型,经度,纬度
北京电子科技学院,,,,中央办公厅,北京,456.0,60.0,0,61.36,62.89,60.33,,,,,本科,工科,116.28609713008962,39.84392607024498
北京石油化工学院,,,,北京市教育委员会,北京,456.0,60.06,0,61.36,62.9,60.0,,,,1.0,本科,工科,116.33232698587182,39.75391112007263
首钢工学院,,,,北京市教育委员会,北京,495.0,60.0,0,61.33,62.88,60.0,,,,,本科,工科,116.20884330538425,39.93205150886661
中国劳动关系学院,,,,中华全国总工会,北京,531.0,60.07,0,61.18,62.46,60.16,,,,,本科,财经,116.32404047686445,39.935305344835704
中华女子学院,,,,中华全国妇女联合会,北京,547.0,60.03,0,61.16,62.47,60.16,,,,,本科,语言,116.44190345977607,40.000843715197504
首都体育学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,体育,116.35382298757283,39.97581204980818
中国传媒大学,211.0,,,教育部,北京,,,0,,,,,1.0,,,本科,语言,116.56387142937665,39.91803575630166
中国人民公安大学,,,,公安部,北京,,,0,,,,,,,,本科,政法,116.3725104370969,39.771627136184385
北京体育大学,211.0,,,国家体育总局,北京,,,0,,,,,,,,本科,体育,116.32565410305205,40.02957506103658
中央音乐学院,211.0,,,教育部,北京,,,0,,,,,,,,本科,艺术,116.36560354569177,39.90829571991145
中国音乐学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,艺术,116.38559901786893,39.99778910438805
中央美术学院,,,,教育部,北京,,,0,,,,,,,,本科,艺术,116.47025398167098,39.98939705931464
中央戏剧学院,,,,教育部,北京,,,0,,,,,,,,本科,艺术,116.38051200359648,40.10780895282949
中国戏曲学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,艺术,116.33931589256999,39.86949646987007
北京电影学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,艺术,116.3623098187089,39.97714808034271
北京舞蹈学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,艺术,116.3257768115847,39.95286679653903
北京工业职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.12748503297327,39.96617009259233
北京信息职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.48923077539982,39.97885334535878
北京电子科技职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.44678898412265,39.9646551567704
北京科技大学延庆分校,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,115.9812214027193,40.47700754860911
北京京北职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.64768854362954,40.34551957618553
北京交通职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.21085497074331,40.23502405601548
首都经济贸易大学密云分校,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.32661007977576,39.485323398665685
北京工业大学通州分校,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.67478521069361,39.937182816775724
北京城市学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,综合,116.2599387431307,40.09687719163483
北京青年政治学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,语言,116.48125427162397,39.98682827980597
北京农业职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,农业,116.23489901602338,39.77807008140949
北京经济管理职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.48127223773417,39.989564903491974
北京政法职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,政法,116.61091497028978,39.92428710881613
北京财贸职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.65417799246418,39.92714708525436
北京北大方正软件职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.35802472176519,40.038030281162705
北京经贸职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.17059902626356,39.72787006020548
北京经济技术职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.48127223773417,39.989564903491974
北京戏曲艺术职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,艺术,116.38375335936813,39.86179179865929
北京汇佳职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,语言,116.25030199111131,40.19976805697189
北京现代职业技术学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.51325730372244,39.81874079191474
北京科技经营管理学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,116.29647803839346,40.15024422990589
北京吉利大学,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,财经,104.43511850661524,30.493615471188992
首都师范大学科德学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,语言,116.31885402017205,39.51881010470171
北京工商大学嘉华学院,,,,北京市教育委员会,北京,,,0,,,,,,,,本科,财经,116.738703959595,39.94177209699399
北京科技职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,工科,116.25717196215997,40.1236490895423
北京培黎职业学院,,,,北京市教育委员会,北京,,,0,,,,,,,,专科,语言,116.35198343754949,40.026560421035256
南开大学,211.0,985.0,研,教育部,天津,15.0,72.79,5,72.67,72.86,71.35,中国一流大学,1.0,1.0,1.0,本科,综合,117.17203054777028,39.110825605578825
天津大学,211.0,985.0,研,教育部,天津,23.0,69.99,5,70.03,69.98,70.45,中国一流大学,1.0,1.0,1.0,本科,工科,104.07994261136645,30.400818093384913
河北工业大学,211.0,,,河北省教育厅,天津,116.0,61.4,3,62.98,63.77,66.03,中国知名大学,,,,本科,工科,114.31530997175149,30.48645994791441
天津医科大学,211.0,,,天津市教育委员会,天津,121.0,61.37,3,62.91,64.05,64.27,中国知名大学,,,1.0,本科,医药,117.19174206557574,39.11474412125573
天津师范大学,,,,天津市教育委员会,天津,138.0,61.34,3,62.56,64.2,60.49,中国知名大学,,,1.0,本科,师范,117.13202469154453,39.06934173315064
天津中医药大学,,,,天津市教育委员会,天津,168.0,61.18,4,62.24,63.72,60.16,中国高水平大学,,,,本科,医药,117.07763471834024,38.95894547905747
天津工业大学,,,,天津市教育委员会,天津,172.0,61.39,0,62.22,63.45,60.33,,,,1.0,本科,工科,117.11776516954023,39.0732576015011
天津财经大学,,,,天津市教育委员会,天津,206.0,60.58,0,61.97,63.7,60.16,,,,1.0,本科,财经,117.28478570100893,39.06700876350956
天津科技大学,,,,天津市教育委员会,天津,236.0,60.6,0,61.82,63.36,60.16,,,,1.0,本科,工科,117.6582407406402,39.028897493909
中国民航大学,,,,中国民用航空总局,天津,268.0,60.62,0,61.73,63.1,60.33,,,,1.0,本科,工科,117.36012898426834,39.11428012559656
天津理工大学,,,,天津市教育委员会,天津,276.0,60.52,0,61.7,63.17,60.16,,,,1.0,本科,工科,117.14809672457629,39.06630553968646
天津商业大学,,,,天津市教育委员会,天津,326.0,60.33,0,61.56,63.05,60.16,,,,1.0,本科,财经,117.13136102343375,39.187459128960235
天津城建大学,,,,天津市教育委员会,天津,367.0,60.25,0,61.47,62.95,60.0,,,,1.0,本科,工科,117.10188438575155,39.101033395191756
天津外国语大学,,,,天津市教育委员会,天津,406.0,60.03,0,61.42,63.02,60.16,,,,1.0,本科,语言,117.21634602468016,39.114373834772024
天津职业技术师范大学,,,,天津市教育委员会,天津,410.0,60.04,0,61.41,63.03,60.0,,,,,本科,师范,117.30293755550063,39.064978621220426
天津农学院,,,,天津市教育委员会,天津,432.0,60.1,0,61.38,62.91,60.0,,,,,本科,农业,117.10755260368896,39.098285159276614
天津体育学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,体育,117.19069086846797,39.079655333673344
天津音乐学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,艺术,117.23508530643217,39.13029284279012
天津美术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,艺术,117.2007423681413,39.159069767571005
天津天狮学院,,,,天津市教育委员会,天津,,,0,,,,,,,,本科,综合,117.07782246419183,39.409842405363264
天津职业大学,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.19546581140624,39.2360378605905
天津中德职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.39275463191578,39.01726954950259
天津滨海职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.64964171114592,39.074072904251
天津工程职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.50505351049861,38.729390726458526
天津青年职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,语言,117.16374996757932,39.086865114281224
天津渤海职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.24388052584982,39.06971772035991
天津电子信息职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.38412461088143,39.015179827328375
天津机电职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,工科,117.36109439319992,39.020310531378186
天津现代职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.37481079969287,39.025673783559704
天津公安警官职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,政法,117.11627317391871,39.00920382305219
天津轻工职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.37951396802092,39.02896707329416
天津对外经济贸易职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,财经,117.24350189007735,39.15551912216242
天津国土资源和房屋职业学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.46005002139863,38.87485503018406
天津开发区职业技术学院,,,,天津市教育委员会,天津,,,0,,,,,,,,专科,综合,117.22928647487362,39.11614084857094
